,countrySubd,locality,attomId,saleTransDate,proptype,yearbuilt,universalsize,beds,bathstotal,zipcode
99,VA,GREAT FALLS,7079137,2022-06-30,SFR,1978,2726.0,5.0,4.0,22066
100,VA,GREAT FALLS,7079138,2006-12-21,SFR,1989,4380.0,5.0,6.0,22066
101,VA,GREAT FALLS,7079139,2018-04-06,SFR,1975,1944.0,4.0,4.0,22066
102,VA,GREAT FALLS,7139599,2021-11-06,SFR,1988,3758.0,5.0,5.0,22066
103,VA,GREAT FALLS,7139600,2009-10-14,SFR,1960,1120.0,5.0,3.0,22066
104,VA,GREAT FALLS,7139601,2005-11-22,SFR,1974,1380.0,4.0,3.0,22066
105,VA,GREAT FALLS,7139602,2012-06-14,SFR,1986,3414.0,5.0,5.0,22066
106,VA,GREAT FALLS,7139603,2010-12-14,SFR,1986,2153.0,4.0,3.0,22066
107,VA,GREAT FALLS,7139604,2005-09-26,SFR,1961,2396.0,3.0,2.0,22066
108,VA,GREAT FALLS,7139606,2008-07-08,SFR,1999,4622.0,4.0,5.0,22066
109,VA,GREAT FALLS,7139607,2007-07-23,SFR,1999,4692.0,4.0,7.0,22066
110,VA,GREAT FALLS,7202685,2021-03-31,SFR,1972,3309.0,5.0,5.0,22066
111,VA,GREAT FALLS,7206968,2005-05-24,SFR,1977,1776.0,4.0,3.0,22066
112,VA,GREAT FALLS,7206969,2007-05-31,SFR,1966,1519.0,5.0,3.0,22066
113,VA,GREAT FALLS,7206970,2005-03-31,SFR,1965,1352.0,3.0,2.0,22066
114,VA,GREAT FALLS,7206971,2008-12-16,SFR,1989,4027.0,5.0,5.0,22066
115,VA,GREAT FALLS,7206972,2015-12-09,SFR,1978,3630.0,4.0,5.0,22066
116,VA,GREAT FALLS,7206973,2012-07-02,SFR,1978,2592.0,4.0,4.0,22066
117,VA,GREAT FALLS,7206974,2017-08-21,SFR,1976,2080.0,4.0,3.0,22066
118,VA,GREAT FALLS,7206975,2004-11-01,SFR,1978,1964.0,4.0,3.0,22066
119,VA,GREAT FALLS,7630127,2008-10-23,SFR,1994,4880.0,5.0,6.0,22066
120,VA,GREAT FALLS,7634308,2021-08-06,SFR,1983,2544.0,4.0,3.0,22066
121,VA,GREAT FALLS,7634309,2006-01-20,SFR,1986,6065.0,4.0,5.0,22066
122,VA,GREAT FALLS,7634310,2005-09-15,SFR,1989,5417.0,5.0,7.0,22066
123,VA,GREAT FALLS,7634311,2005-09-01,SFR,1992,4462.0,5.0,5.0,22066
124,VA,GREAT FALLS,7634312,2006-11-22,SFR,2000,4984.0,5.0,5.0,22066
